index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,boolean_1,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,boolean_1_diff,Length_diff,freq
161,144,5,40,0,4000,1,True,1.99993896484375,248.5979709625244,1,0,0.0,0,0,0.500015259254738
162,144,5,41,0,4000,1,True,2.0000200271606445,250.59799098968503,1,0,0.0,0,0,0.49999499325997426
163,144,5,42,0,4000,1,True,2.000053882598877,252.59804487228396,1,0,0.0,0,0,0.4999865297131878
164,144,5,43,0,4000,1,True,2.000035047531128,254.59807991981504,1,0,0.0,0,0,0.49999123827075653
165,144,5,44,0,4000,1,True,1.9999489784240725,256.59802889823914,1,0,0.0,0,0,0.5000127557193903
166,144,5,45,0,4000,1,True,2.000040054321289,258.5980689525604,1,0,0.0,0,0,0.4999899866202173
167,144,5,46,0,4000,1,True,2.000020980834961,260.5980899333954,1,0,0.0,0,0,0.49999475484628364
168,144,5,47,0,4000,1,True,2.000035047531128,262.5981249809265,1,0,0.0,0,0,0.49999123827075653
169,144,5,48,0,4000,1,True,2.0000369548797607,264.5981619358063,1,0,0.0,0,0,0.49999076145076454
170,144,5,49,0,4000,1,True,2.0000429153442383,266.5982048511505,1,0,0.0,0,0,0.49998927139415134
171,144,5,50,0,4000,1,True,2.000033140182495,268.598237991333,1,0,0.0,0,0,0.4999917150916579
172,144,5,51,0,4000,1,True,1.9999070167541504,270.5981450080872,1,0,0.0,0,0,0.5000232468922482
173,144,5,52,0,4000,1,True,2.0001230239868164,272.598268032074,1,0,0.0,0,0,0.4999692458950422
174,144,5,53,0,4000,1,True,1.9999749660491943,274.5982429981232,1,0,0.0,0,0,0.5000062585660398
175,144,5,54,0,4000,1,True,2.0000109672546387,276.5982539653778,1,0,0.0,0,0,0.49999725820137536
176,144,5,55,0,4000,1,True,1.9999558925628664,278.5982098579407,1,0,0.0,0,0,0.500011027102472
177,144,5,56,0,4000,1,True,2.0000600814819336,280.5982699394226,1,0,0.0,0,0,0.4999849800807261
178,144,5,57,0,4000,1,True,2.000035047531128,282.59830498695374,1,0,0.0,0,0,0.49999123827075653
179,144,5,58,0,4000,1,True,2.0000100135803223,284.59831500053406,1,0,0.0,0,0,0.49999749661745335
180,144,5,59,0,4000,1,True,2.0000569820404053,286.59837198257446,1,0,0.0,0,0,0.49998575489575625
181,144,5,60,0,4000,1,True,2.0000228881835938,288.59839487075806,1,0,0.0,0,0,0.49999427801958446
182,144,5,61,0,4000,1,True,2.0000131130218506,290.5984079837799,1,0,0.0,0,0,0.4999967217660311
183,144,5,62,0,4000,1,True,1.999932050704956,292.59834003448486,1,0,0.0,0,0,0.500016987900919
184,144,5,63,0,4000,1,True,2.0000178813934326,294.5983579158783,1,0,0.0,0,0,0.49999552969160954
185,143,6,0,1,8,1,True,1.013767957687378,295.6121258735657,-63,1,5.992943205369811e+17,0,-1,0.9864190246071837
186,143,6,1,1,16,1,True,0.0175399780273437,295.629665851593,1,0,0.0,0,0,57.01261418007845
187,143,6,2,1,32,1,True,0.0156910419464111,295.64535689353943,1,0,0.0,0,0,63.73063072645235
188,143,6,3,1,64,1,True,0.0200991630554199,295.66545605659485,1,0,0.0,0,0,49.753315461080454
189,144,5,64,0,4000,1,True,0.932919979095459,296.5983760356903,61,-1,-5.992943205369811e+17,0,1,1.071903295467614
190,144,5,65,0,4000,1,True,2.0000150203704834,298.5983910560608,1,0,0.0,0,0,0.49999624493558037
191,144,5,66,0,4000,1,True,2.0000147819519043,300.5984058380127,1,0,0.0,0,0,0.49999630453933697
192,144,5,67,0,4000,1,True,2.00007700920105,302.59848284721375,1,0,0.0,0,0,0.49998074844101115
193,143,6,0,0,8,1,True,1.2481470108032229,303.84662985801697,-67,1,119292055011.0,0,-1,0.8011876736831407
