Attack Type,Feature,Normal Mean,Normal Std,Attack Mean,Attack Std,Mean Difference,P-value,Significant (p<0.01)
Masquerade,ttl_margin,1.2788091628432507,0.7778429207505932,0.4019382324409485,0.9966097549515137,0.8768709304023022,1.673752594608096e-28,True
Masquerade,heartbeat_within_tol,0.8123211327007079,0.3904849256418517,0.36,0.4824181513244218,0.45232113270070795,7.94175838162034e-30,True
Masquerade,jitter_rolling_std,0.22146964276336534,0.3346424176699594,0.5631658486598954,0.219307760764386,0.34169620589653005,2.3109154567278393e-23,True
Masquerade,heartbeat_interval_error,0.07254620688737616,0.26592757294574026,0.38117694124221807,0.48005416223607544,0.3086307343548419,3.38161785339172e-36,True
Masquerade,ttl_violation,0.022443139026961892,0.14813085318836366,0.29,0.4560480215720686,0.2675568609730381,1.3774774039593208e-61,True
Masquerade,stNum_delta,0.021860394994723354,0.1700733551404634,0.25,0.4351941398892446,0.22813960500527664,7.40309573856997e-37,True
Masquerade,sq_reset_on_st_change,0.025606266003916252,0.157969439752287,0.25,0.4351941398892446,0.22439373399608376,2.8008179005582717e-40,True
Masquerade,sq_reset_expected,0.025606266003916252,0.157969439752287,0.25,0.4351941398892446,0.22439373399608376,2.8008179005582717e-40,True
Masquerade,sq_reset_without_st_change,0.025606266003916252,0.157969439752287,0.25,0.4351941398892446,0.22439373399608376,2.8008179005582717e-40,True
Masquerade,sqNum_jump,0.02937189335743335,0.16885935000364888,0.25,0.4351941398892446,0.22062810664256666,6.916478023235232e-35,True
Masquerade,stNum_change,0.02937189335743335,0.16885935000364888,0.25,0.4351941398892446,0.22062810664256666,6.916478023235232e-35,True
Masquerade,st_change,0.02937189335743335,0.16885935000364888,0.25,0.4351941398892446,0.22062810664256666,6.916478023235232e-35,True
Masquerade,status_change_violation_on_heartbeat,0.9706015377657169,0.16893340449553002,0.75,0.4351941398892446,0.2206015377657169,7.531241918735392e-35,True
Masquerade,t_change,0.02939846223428313,0.16893340449553002,0.25,0.4351941398892446,0.22060153776571687,7.531241918735392e-35,True
Masquerade,sq_inc_expected,0.9697243560777226,0.17135767324551837,0.75,0.4351941398892446,0.21972435607772256,9.027148924660324e-34,True
Masquerade,Time delta from previous displayed frame,0.20555969272480792,0.2971584159407194,0.023251280000000003,0.04130962126957786,0.1823084127248079,3.640215957477519e-21,True
Masquerade,length_delta,0.0021106588270767375,0.24802307946193478,-0.15,0.6723244767373876,0.15211065882707672,4.991580654354443e-07,True
Masquerade,sq_reset_violation,0.003765627353517096,0.06125367377876458,0.0,0.0,0.003765627353517096,0.5388869685886645,False
Masquerade,sq_inc_violation_when_no_event,0.0009037505648441031,0.03005112019106798,0.0,0.0,0.0009037505648441031,0.7639980467237297,False
Masquerade,Time delta from previous captured frame,0.00010024536827835519,8.688416070262451e-05,9.525000000000001e-05,8.146318186763883e-05,4.9953682783551744e-06,0.833546714107387,False
Masquerade,Time shift for this packet,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,boolean_2,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,boolean_3,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,status_bit_change,1.0,0.0,1.0,0.0,0.0,1.0,False
Masquerade,t_st_consistency_violation,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,status_change_missing_on_event,0.0,0.0,0.0,0.0,0.0,1.0,False
Masquerade,stNum_jump_gt1,0.0,0.0,0.0,0.0,0.0,1.0,False
Poisoning,byte_rate,111.80078765645014,34.98506367573085,125784946.7074963,72247746.64374855,125784834.90670864,0.0,True
Poisoning,msg_rate,0.7511101786780885,0.2546592543540207,749275.7522359566,430361.54637575295,749275.001125778,0.0,True
Poisoning,timeAllowedtoLive,3000.3316749585406,1000.1658237305155,4000.0,0.0,999.6683250414594,0.0,True
Poisoning,time_since_last_event,358.1646516554787,218.1991255071478,0.012732477426528931,0.0071961301897464115,358.15191917805214,0.0,True
